ID,skill,rating,change,played,wins,avg_queue,activity
59736,7112,4174,0,7,7,0.000000,1.265492
54989,4922,4138,0,9,8,1.000000,1.634360
26687,6272,4113,-37,13,12,12.333333,1.616860
90985,4290,4102,0,9,7,1.571429,1.339141
44718,3413,4078,0,7,6,0.166667,0.893049
56617,5004,4074,-34,12,9,9.666667,2.189387
80854,5406,4071,-37,12,10,5.166667,1.968649
14480,7315,4063,51,18,18,13.666667,2.118625
65701,6428,4060,0,9,7,2.444444,0.905146
74020,10331,4057,-39,20,17,12.473684,2.735573
3607,3684,4048,0,10,9,1.200000,1.790409
14135,6085,4037,-179,17,12,8.941176,4.513390
69941,1766,4036,0,10,8,0.888889,1.274869
62003,6117,4030,0,10,8,1.000000,2.769655
98255,8257,4023,11,11,11,3.727273,2.167561
53193,4661,4017,-43,11,9,5.727273,1.504185
41663,65,4010,16,11,9,3.090909,1.331699
4621,8265,4009,3,12,10,2.916667,2.490496
74480,2093,4006,-30,12,10,2.166667,2.156073
21485,9238,3999,-25,13,11,6.000000,2.398195
4359,10017,3994,24,12,11,3.416667,1.659446
42971,9759,3994,0,10,10,1.500000,1.286652
66377,6874,3994,0,8,7,3.625000,1.461272
7486,8105,3994,-18,15,14,8.733333,2.597705
25750,6329,3994,0,10,10,4.600000,1.396948
46283,9904,3991,63,14,12,7.928571,1.799022
39066,6449,3982,-66,14,11,6.857143,1.852548
82787,6320,3982,0,9,8,1.555556,1.227221
40427,6393,3979,-15,20,17,9.117647,3.108198
17098,10198,3978,32,18,16,9.117647,2.797781
25698,6155,3978,-124,15,10,11.133333,2.153565
58430,8906,3976,0,9,9,4.444444,1.222098
13210,1553,3976,0,9,8,0.555556,1.234412
40152,1394,3976,0,10,9,0.888889,1.151061
26543,6727,3970,12,11,11,1.400000,1.606655
44317,5171,3970,0,9,9,1.375000,1.284428
69499,7560,3964,-30,13,12,9.307692,1.328745
55614,10325,3959,-29,13,12,1.615385,2.407586
66337,9702,3958,-42,11,9,4.363636,1.695091
35220,3533,3958,0,9,8,1.000000,1.755790
75171,5406,3958,0,9,9,1.333333,1.047181
52280,4060,3957,-13,13,10,2.153846,1.458582
8533,3628,3956,-2,14,13,6.166667,1.713473
89553,11267,3955,51,14,13,0.750000,1.519474
15257,4369,3952,0,10,9,1.500000,1.529590
57156,3772,3951,-37,11,8,0.200000,1.398270
69418,7397,3948,20,12,12,4.416667,2.559503
97786,7504,3946,0,9,9,2.222222,1.581593
65207,4233,3943,3,14,11,4.538462,1.733803
83029,6003,3939,-1,13,12,6.000000,2.383517
89626,11179,3938,322,40,32,6.525000,5.854186
35175,4767,3938,-38,16,13,6.642857,3.444557
62868,3904,3936,-52,15,13,7.428571,3.065473
50065,4156,3935,13,11,10,2.700000,2.082184
36933,8520,3934,30,15,13,4.200000,2.700396
20454,5716,3933,17,11,11,2.200000,1.649475
80335,-641,3932,-14,12,7,3.545455,2.677659
16755,9227,3931,-39,11,9,3.818182,1.671330
96082,4455,3926,52,14,14,5.923077,1.477683
61939,1461,3924,2,14,12,2.461538,1.865388
30244,8654,3919,39,23,19,8.826087,2.883806
31087,6905,3916,0,6,6,0.800000,0.762232
63180,5539,3914,112,17,16,8.058824,1.859267
55131,3534,3906,-16,12,10,0.750000,2.595591
30200,12393,3904,0,10,10,0.800000,2.572534
95621,5946,3904,0,8,8,0.714286,0.824430
9883,8227,3900,2,14,12,4.857143,1.699583
85702,4597,3898,-60,21,17,6.500000,3.637502
87872,2970,3896,-104,18,14,5.888889,2.209005
11827,9517,3896,4,22,19,4.473684,3.824920
54766,3155,3891,-1,13,11,1.846154,1.558569
92606,4279,3890,-32,15,13,4.375000,1.938729
49819,7847,3889,45,23,19,5.045455,3.027653
83487,6653,3887,-5,17,14,3.647059,2.129582
3603,8448,3887,55,27,22,8.222222,4.221412
8199,4069,3886,0,10,8,2.666667,1.730210
44371,3734,3880,-36,11,10,1.545455,1.443256
42246,8860,3880,0,10,9,1.700000,1.156248
29253,8409,3876,86,18,14,4.000000,2.580110
176,7315,3876,20,11,10,0.600000,1.958243
93712,8821,3876,-46,15,11,3.266667,1.563420
22005,5326,3876,-10,13,11,3.083333,1.670624
56002,8061,3875,49,14,14,4.785714,1.631084
27610,2620,3875,-53,13,9,5.583333,2.377935
58975,5449,3874,-54,19,15,7.833333,2.905479
61483,9118,3873,-13,17,14,4.375000,4.110296
97468,6183,3870,-100,20,11,6.631579,3.321825
58696,4212,3869,-95,18,13,5.000000,2.271645
87935,5972,3868,0,8,6,0.875000,1.221272
24533,5221,3868,0,7,7,3.333333,1.528329
31016,7169,3868,0,10,10,1.428571,1.151535
10739,11447,3867,23,15,13,5.769231,1.837338
3278,7094,3867,-109,18,13,4.444444,3.259976
80395,8984,3866,-146,14,11,4.636364,2.127453
70190,6876,3865,-21,15,13,5.928571,2.595634
10390,4072,3865,39,12,10,4.250000,1.720815
96973,1238,3865,69,14,10,1.307692,1.500002
73518,9814,3865,-57,11,9,1.545455,1.856837
79542,6893,3862,0,10,9,1.800000,1.671462
68079,3348,3862,84,14,12,0.714286,1.376902
68365,1710,3862,0,9,7,0.500000,0.811942
18526,1360,3861,-43,14,11,2.230769,1.262115
89443,6909,3859,27,15,13,5.000000,1.540572
57389,2220,3859,-57,13,9,8.250000,1.681936
68438,9569,3858,-64,26,20,8.423077,3.318848
97103,4252,3858,-142,18,10,5.222222,2.083925
95639,6449,3857,-119,16,9,7.714286,2.331999
32856,8579,3856,-30,15,12,5.285714,1.896336
53143,5248,3856,0,9,9,1.555556,1.180305
79245,6739,3856,0,10,9,2.400000,1.074319
13459,11573,3856,0,9,9,0.666667,1.663527
57613,9622,3851,37,14,12,6.076923,3.185782
27710,6905,3850,0,7,7,0.000000,1.496451
85977,9384,3850,6,13,11,2.923077,2.189953
78405,6102,3848,4,17,14,2.562500,2.906412
73963,8693,3847,-93,22,17,5.684211,2.391925
86618,4627,3847,-27,11,8,2.100000,1.638096
57817,4096,3845,-17,12,9,2.900000,1.464118
31187,8623,3845,37,12,11,0.500000,2.608462
39345,10873,3845,157,26,21,6.320000,5.685779
73478,6174,3843,-67,16,12,3.937500,2.310180
57172,6825,3842,76,14,13,2.230769,1.503684
7017,7528,3841,177,20,17,1.105263,1.779477
56012,1600,3840,-34,11,9,2.454545,2.212244
45352,6803,3839,139,22,15,2.800000,3.014718
98402,8351,3839,61,16,14,3.000000,2.718087
60818,6233,3839,67,15,13,2.066667,2.657009
58988,5671,3838,0,9,9,2.555556,1.530232
79570,7242,3838,30,32,24,6.633333,4.370334
14424,9667,3837,137,26,21,4.615385,4.716674
17302,7189,3835,-3,16,13,4.937500,2.331249
36245,4995,3835,45,12,11,1.666667,1.359045
71395,4045,3835,39,17,14,2.764706,2.721311
82717,3206,3832,0,10,9,2.300000,1.309845
12169,6330,3832,-144,15,11,6.133333,1.718490
58004,4895,3832,0,7,7,0.500000,1.370853
19162,6835,3832,0,10,9,1.625000,1.312716
74073,7031,3831,-37,15,11,3.285714,2.552100
46057,1169,3831,-67,13,8,1.636364,1.612621
65189,4952,3829,-81,15,12,5.733333,2.293926
58130,3435,3828,20,19,15,4.263158,2.348845
86025,6200,3827,73,14,12,1.285714,1.942158
6490,10634,3826,12,13,11,2.615385,1.503925
19940,4306,3826,0,9,9,0.833333,0.821905
39101,9640,3825,107,28,22,4.444444,4.184934
5290,4670,3823,-9,12,10,1.600000,1.632588
53365,7811,3823,-39,11,8,2.727273,1.073156
28839,9187,3822,20,13,11,1.083333,1.745960
27415,6350,3822,-28,14,10,3.142857,1.499200
60141,9852,3822,-34,12,10,4.916667,1.349183
92025,4043,3821,-5,16,13,3.600000,2.762640
54357,3306,3820,0,7,6,0.600000,1.876210
77075,6256,3820,0,8,8,0.857143,1.417638
3016,3741,3820,0,10,9,1.200000,2.863864
85762,10444,3820,144,23,18,2.000000,3.362108
7281,7411,3819,77,16,14,0.857143,2.203933
71369,8838,3817,75,14,13,0.928571,2.257441
82154,3881,3816,-70,12,9,2.416667,1.490482
29242,4483,3814,0,10,9,3.222222,1.806331
59945,6603,3814,0,10,9,1.100000,1.562255
64601,3366,3814,108,14,13,1.538462,1.435002
2049,7213,3814,0,13,11,0.615385,1.695151
79510,5282,3814,0,10,8,0.700000,2.044812
53077,5802,3812,-8,13,11,2.076923,2.013686
30360,1560,3812,-86,13,10,2.076923,1.532474
