ID,skill,rating,change,played,wins,avg_queue,activity
14135,6085,4198,0,9,8,1.285714,4.513390
74020,10331,4096,0,10,9,1.500000,2.735573
39066,6449,4048,0,10,9,1.375000,1.852548
98492,2996,4030,0,7,7,1.166667,5.239764
44655,4067,4018,0,6,6,2.333333,1.600284
81244,1395,4006,-48,11,8,0.555556,2.728897
27022,981,4000,0,9,8,0.666667,1.981429
45043,1397,4000,0,8,7,0.000000,1.726396
7449,4150,3988,0,7,6,0.428571,1.494980
95639,6449,3976,0,10,7,1.111111,2.331999
12137,-1682,3976,0,9,6,1.333333,3.328779
27881,1673,3976,0,7,7,2.142857,1.833270
3753,2312,3970,0,10,9,2.714286,3.077488
97468,6183,3970,0,10,7,0.500000,3.321825
40427,6393,3957,-37,11,10,1.600000,3.108198
58696,4212,3931,-33,13,10,1.500000,2.271645
3278,7094,3931,-45,11,9,4.818182,3.259976
68438,9569,3922,0,10,10,5.700000,3.318848
1406,1903,3922,0,8,8,1.000000,2.730227
33280,6085,3922,0,8,8,3.000000,2.538432
36933,8520,3904,0,10,9,2.900000,2.700396
30244,8654,3898,18,12,11,10.272727,2.883806
70190,6876,3898,12,11,11,7.272727,2.595634
11827,9517,3892,0,10,10,3.222222,3.824920
23377,5025,3892,0,10,9,1.111111,2.482187
63250,3621,3880,0,10,9,1.000000,3.036023
85503,1595,3880,0,8,8,2.500000,2.241914
61939,1461,3880,0,9,8,0.285714,1.865388
7486,8105,3880,0,8,8,0.500000,2.597705
43301,1715,3880,0,8,7,0.333333,2.069316
74073,7031,3880,12,11,9,0.800000,2.552100
87872,2970,3880,0,9,9,1.142857,2.209005
70632,2562,3874,0,10,9,2.222222,3.244124
1669,6617,3868,0,8,8,1.125000,3.150528
58975,5449,3868,0,9,9,1.000000,2.905479
62555,6115,3868,0,10,9,1.700000,1.745160
49819,7847,3867,23,12,11,5.200000,3.027653
2599,5781,3860,-8,13,12,8.090909,3.741699
61483,9118,3856,-30,12,11,2.333333,4.110296
60141,9852,3856,0,10,9,2.300000,1.349183
43106,5972,3854,22,11,10,3.272727,2.342891
63792,4193,3850,0,7,7,4.571429,1.870700
27415,6350,3850,0,10,8,1.200000,1.499200
62283,8614,3850,12,11,11,3.111111,2.052202
1700,7911,3850,0,10,9,0.250000,2.390537
56002,8061,3840,14,11,11,3.900000,1.631084
97103,4252,3838,0,9,6,2.333333,2.083925
36565,5976,3838,0,10,9,6.100000,3.342576
3603,8448,3835,3,15,14,8.066667,4.221412
76364,6808,3832,0,10,9,1.800000,1.467336
21485,9238,3832,0,8,8,1.125000,2.398195
98889,8007,3832,0,9,7,2.111111,3.969314
63180,5539,3831,29,11,10,2.800000,1.859267
10390,4072,3826,0,8,8,0.750000,1.720815
24994,5276,3826,0,9,9,4.125000,2.415285
79570,7242,3824,16,11,10,7.454545,4.370334
99456,4427,3820,0,10,9,3.500000,2.729521
74070,3619,3820,0,9,8,0.333333,1.274919
94654,3672,3815,-107,13,9,3.636364,4.114274
57613,9622,3814,0,10,9,5.200000,3.185782
89554,-329,3808,0,10,9,1.300000,3.685735
91944,6271,3808,0,8,7,1.750000,2.601723
82661,3374,3808,0,10,8,1.200000,4.132302
16799,6632,3807,-13,13,12,3.153846,4.972028
90765,9816,3807,-79,12,11,1.909091,3.611747
98693,8364,3805,9,11,11,11.700000,3.137485
62868,3904,3802,0,8,8,0.000000,3.065473
39518,5063,3802,0,9,7,1.250000,1.634116
45723,6901,3802,42,12,11,5.500000,2.908171
92738,4520,3797,-35,11,9,1.600000,1.370641
9883,8227,3796,0,9,8,3.222222,1.699583
79080,3833,3796,0,10,9,1.600000,3.336197
48556,9108,3793,39,12,11,2.090909,4.900919
69499,7560,3790,0,8,8,1.750000,1.328745
29242,4483,3790,0,8,8,3.000000,1.806331
42632,5611,3785,19,11,10,0.777778,2.512844
70399,2296,3784,0,10,9,2.800000,1.824210
78772,4506,3784,0,10,9,1.300000,2.813856
27610,2620,3784,0,6,6,0.000000,2.377935
78638,6155,3783,89,15,14,2.923077,4.498328
11152,2336,3780,50,15,12,4.928571,3.670561
57635,5014,3780,44,11,9,1.909091,3.087747
7233,3412,3779,-35,11,7,2.600000,2.884424
96315,1570,3778,0,7,7,5.428571,1.356713
21686,5482,3778,276,21,17,1.050000,4.152620
83586,5227,3772,0,8,8,0.800000,1.120515
5600,4680,3772,0,10,9,1.000000,1.973156
10739,11447,3772,0,9,8,6.000000,1.837338
23229,2702,3772,0,8,7,3.714286,3.390621
26048,6117,3772,30,13,10,1.454545,3.087754
16680,2031,3772,0,10,9,3.600000,2.291003
16837,7122,3768,26,12,11,5.636364,2.394195
7190,4071,3766,0,9,8,3.000000,3.231282
94898,5641,3766,0,10,9,0.800000,3.002611
9962,3862,3766,0,9,8,1.888889,2.546469
32845,7550,3766,0,10,9,3.000000,3.754692
15419,1275,3766,0,9,8,1.875000,2.841585
74308,2732,3766,-18,11,9,2.000000,1.967296
39238,7342,3766,0,7,6,0.857143,1.967233
51295,5453,3765,11,11,9,2.545455,4.023772
21038,3648,3764,256,15,11,1.461538,4.096206
93870,4330,3760,72,13,10,1.400000,4.158820
86147,391,3760,0,6,6,1.600000,3.762698
3959,6320,3760,6,13,10,2.909091,2.503734
437,7979,3760,0,9,9,0.714286,2.387150
43299,4777,3759,65,15,12,4.857143,5.092720
86758,2846,3754,0,10,9,1.300000,3.849634
4359,10017,3754,0,6,6,0.666667,1.659446
18762,3161,3748,0,7,7,0.600000,3.395230
41274,8185,3748,-36,13,11,4.076923,4.687250
19895,5382,3748,0,9,7,0.857143,3.155853
84246,359,3748,0,10,7,4.200000,1.792906
619,9543,3746,-20,12,9,2.916667,3.673313
70319,1776,3743,37,16,12,6.400000,3.843287
57097,3918,3742,0,10,8,0.200000,1.874788
7934,-417,3742,0,9,7,0.857143,1.986088
38177,4939,3742,-72,18,13,8.888889,5.151516
1164,3829,3742,0,7,7,0.333333,2.122990
95052,1153,3742,0,10,9,1.333333,3.117978
85702,4597,3742,0,8,8,2.285714,3.637502
96404,3849,3742,-18,16,14,8.625000,2.591450
18208,4345,3742,-30,11,8,2.545455,1.738782
40009,8104,3736,12,11,10,2.000000,3.373336
73125,1855,3736,0,8,8,1.857143,2.699600
81378,6514,3732,20,11,10,1.181818,2.167123
93343,1579,3730,0,8,8,2.285714,1.910278
74432,4361,3730,0,9,8,1.750000,2.542150
28392,7951,3730,0,8,8,4.375000,2.464189
81416,6551,3730,72,15,13,3.461538,2.451273
85267,2495,3730,0,10,9,1.000000,2.101344
12290,4067,3729,23,11,10,3.363636,2.785035
2217,1830,3726,14,11,9,3.727273,3.642768
98138,5327,3725,1,14,13,4.583333,3.466135
20816,4114,3724,0,10,9,0.285714,2.635891
34241,2641,3724,0,6,6,2.333333,1.681123
55326,1603,3724,0,9,8,1.500000,1.713396
39101,9640,3719,1,14,12,5.230769,4.184934
40736,7035,3718,0,10,8,2.111111,2.916209
79127,3073,3717,-85,12,9,3.333333,3.020419
89158,2020,3712,0,9,6,0.888889,1.779000
92606,4279,3712,0,8,8,4.375000,1.938729
80484,4823,3712,0,10,9,1.000000,2.015762
84235,4128,3711,-109,14,10,1.000000,3.443805
89626,11179,3710,94,18,14,5.888889,5.854186
46862,6040,3709,27,11,10,0.875000,2.678161
92185,4519,3709,15,11,9,2.111111,2.596050
32554,8888,3708,-64,15,11,1.866667,4.627489
56227,6813,3708,-10,15,12,5.866667,4.084202
31750,2715,3706,-132,18,13,7.812500,5.388574
28818,3659,3706,0,9,7,1.250000,1.967823
71160,5420,3706,0,10,9,4.166667,2.459942
24796,5698,3702,-10,13,11,1.230769,4.474332
40930,3841,3702,44,15,12,3.071429,4.727230
80852,7,3700,-66,12,9,0.272727,4.422315
4406,5615,3700,0,9,8,2.000000,3.751299
4811,-489,3700,0,10,8,1.800000,2.592519
59135,5378,3695,-11,12,9,5.181818,4.983083
49940,4096,3694,0,10,9,2.800000,2.836149
34911,3317,3694,0,9,8,1.571429,2.161840
60317,5871,3694,0,10,8,1.800000,2.479709
30360,1560,3694,0,6,6,0.500000,1.532474
38734,1913,3694,0,9,8,1.111111,2.974289
96009,6326,3694,-84,12,9,3.545455,3.646430
85104,2787,3693,59,15,12,3.428571,3.082575
92139,-3720,3690,-64,12,9,1.750000,1.762161
1536,1943,3689,-5,12,10,1.555556,4.122539
96366,8402,3688,0,10,8,1.000000,2.602516
68755,5049,3688,0,8,7,0.000000,3.040922
27782,6804,3688,0,10,8,2.222222,3.159573
37295,3894,3685,27,14,12,2.272727,3.366746
54028,5573,3682,0,7,6,0.000000,2.122305
5078,7443,3682,0,9,7,0.750000,1.810659
45411,3187,3682,0,10,9,0.333333,3.051087
30455,3394,3682,0,7,7,0.000000,3.152477
39547,5430,3681,23,11,10,2.545455,3.069836
86783,1097,3680,28,11,10,0.454545,2.469506
53352,7013,3677,13,13,11,4.000000,4.870650
14107,4485,3677,-17,15,12,7.142857,4.219713
7420,4611,3676,0,7,7,1.142857,2.258432
17683,2255,3676,0,9,8,2.555556,2.677740
96694,4866,3676,0,10,9,3.000000,2.939212
5860,10434,3676,0,9,9,1.000000,2.057159
30200,12393,3676,0,8,8,0.000000,2.572534
37693,6692,3675,-7,13,10,5.083333,2.434494
23488,4890,3671,-11,14,11,1.357143,4.785678
90794,9753,3670,-24,11,9,1.900000,3.292852
9614,4662,3670,0,10,8,1.000000,2.227497
82320,-1347,3670,0,10,9,4.600000,4.239599
45352,6803,3670,-30,11,8,1.454545,3.014718
22005,5326,3670,0,7,7,0.750000,1.670624
30477,3368,3669,-55,12,8,4.333333,3.307991
43991,3773,3668,130,15,10,4.153846,5.043696
85292,4746,3666,44,15,12,5.142857,3.368700
39345,10873,3665,-23,15,12,6.000000,5.685779
39385,6374,3664,0,8,8,1.000000,1.416893
48603,3971,3664,66,12,9,1.181818,3.948242
22393,4815,3664,-30,11,9,0.900000,3.042855
33251,4644,3664,0,9,8,0.750000,1.164744
36024,5849,3661,-345,13,9,9.615385,2.291539
62708,2559,3660,-70,13,10,1.333333,2.903045
37552,5128,3658,0,9,8,1.625000,4.152248
94203,2481,3656,142,16,14,1.333333,5.331639
67122,2429,3655,81,12,9,2.583333,2.175634
